[root at 2026-05-05 02:15:22,268]: Archipelago (0.6.7) logging initialized on Windows-11-10.0.26100-SP0 process 8504 running Python 3.13.13
[Client at 2026-05-05 02:15:22,289]: Please connect to an Archipelago server.
[Portal2Client at 2026-05-05 02:15:22,296]: Panorama API Server serving on http://localhost:8910 (Sync Thread)
[Portal2Client at 2026-05-05 02:15:27,300]: Connected to Portal 2 netcon on 127.0.0.1:3000
[Client at 2026-05-05 02:21:42,858]: Connecting to Archipelago server at ws://127.0.0.1:38282
[Client at 2026-05-05 02:21:42,876]: Connected
[Client at 2026-05-05 02:21:42,883]: --------------------------------
[Client at 2026-05-05 02:21:42,883]: Room Information:
[Client at 2026-05-05 02:21:42,883]: --------------------------------
[Client at 2026-05-05 02:21:42,883]: Server protocol version: 0.6.7, generator version: 0.6.7, tags: AP
[Client at 2026-05-05 02:21:42,884]: Release permission: goal
[Client at 2026-05-05 02:21:42,884]: Remaining permission: goal
[Client at 2026-05-05 02:21:42,884]: Collect permission: disabled
[Client at 2026-05-05 02:21:42,884]: A !hint costs 5% of your total location count as points and you get 1 for each location checked. Use !hint for more information.
[Client at 2026-05-05 02:21:42,884]: Enter slot name:
[Portal2Client at 2026-05-05 02:21:58,786]: Portal 2 connection closed by peer
