[root at 2026-05-05 04:31:22,643]: Archipelago (0.6.7) logging initialized on Windows-11-10.0.26100-SP0 process 7724 running Python 3.13.13
[Client at 2026-05-05 04:31:22,663]: Please connect to an Archipelago server.
[Portal2Client at 2026-05-05 04:31:22,671]: Panorama API Server serving on http://localhost:8910 (Sync Thread)
[Portal2Client at 2026-05-05 04:31:27,672]: Connected to Portal 2 netcon on 127.0.0.1:3000
[Client at 2026-05-05 04:31:41,633]: Connecting to Archipelago server at ws://127.0.0.1:38282
[Client at 2026-05-05 04:31:41,645]: Connected
[Client at 2026-05-05 04:31:41,653]: --------------------------------
[Client at 2026-05-05 04:31:41,653]: Room Information:
[Client at 2026-05-05 04:31:41,653]: --------------------------------
[Client at 2026-05-05 04:31:41,653]: Server protocol version: 0.6.7, generator version: 0.6.7, tags: AP
[Client at 2026-05-05 04:31:41,653]: Release permission: goal
[Client at 2026-05-05 04:31:41,653]: Remaining permission: goal
[Client at 2026-05-05 04:31:41,653]: Collect permission: disabled
[Client at 2026-05-05 04:31:41,654]: A !hint costs 5% of your total location count as points and you get 1 for each location checked. Use !hint for more information.
[Client at 2026-05-05 04:31:41,654]: Enter slot name:
[Portal2Client at 2026-05-05 04:31:43,745]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:31:45,746]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:31:47,749]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:31:49,817]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:31:49,820]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:31:51,819]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:31:51,827]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:31:53,883]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:31:53,884]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:31:55,887]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:31:55,888]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:31:57,891]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:31:57,892]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:31:59,932]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:31:59,933]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:32:01,936]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:32:01,937]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:32:03,990]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:32:03,991]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:32:06,041]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:32:06,042]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:32:08,085]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:32:08,086]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:32:10,133]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:32:10,134]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:32:12,184]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:32:12,185]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:32:14,190]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:32:14,191]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:32:16,201]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:32:16,202]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:32:18,206]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:32:18,207]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:32:20,253]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:32:20,254]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:32:22,305]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:32:22,306]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:32:24,350]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:32:24,351]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:32:26,391]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:32:26,391]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:32:28,440]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:32:28,441]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:32:30,485]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:32:30,486]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:32:32,534]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:32:32,535]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:32:34,583]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:32:34,584]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:32:36,591]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:32:36,591]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:32:38,635]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:32:38,636]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:32:40,676]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:32:40,677]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:32:42,728]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:32:42,729]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:32:44,774]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:32:44,775]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:32:46,819]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:32:46,821]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:32:48,864]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:32:48,865]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:32:50,911]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:32:50,912]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:32:52,959]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:32:52,960]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:32:54,993]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:32:54,994]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:32:57,022]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:32:57,023]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:32:59,050]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:32:59,050]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:33:01,075]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:33:01,076]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:33:03,114]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:33:03,115]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:33:05,157]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:33:05,158]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:33:07,195]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:33:07,197]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:33:09,246]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:33:09,248]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:33:11,297]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:33:11,298]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:33:13,347]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:33:13,348]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:33:15,388]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:33:15,389]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:33:17,426]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:33:17,427]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:33:19,478]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:33:19,479]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:33:21,524]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:33:21,525]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:33:23,568]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:33:23,569]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:33:25,604]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:33:25,606]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:33:27,649]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:33:27,650]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:33:29,695]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:33:29,696]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:33:31,737]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:33:31,738]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:33:33,788]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:33:33,789]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:33:35,825]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:33:35,826]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:33:37,864]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:33:37,865]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:33:39,905]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:33:39,906]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:33:41,913]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:33:41,914]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:33:43,961]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:33:43,962]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:33:46,000]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:33:46,001]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:33:48,049]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:33:48,050]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:33:50,090]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:33:50,091]: API Status Error: 'Menu' object has no attribute 'to_dict'
[Portal2Client at 2026-05-05 04:33:52,137]: API Status Error: 'Menu' object has no attribute 'to_dict'
